Cod. Promo��o    ;Ds. Promo��o       ;Ds. Referencia     ;Cod. Produto       ;Dt. Inicio        ;Dt. Final      ;Vl. Anterior   ;Vl. Promo��o
180;SALE 2021 CORRETA;M2218026;18307;26/12/2020;31/03/2021;149;74,5
180;SALE 2021 CORRETA;M2218026;18310;26/12/2020;31/03/2021;149;74,5
168;50% COLECAO ESTOQUE;M2727004;24657;07/05/2020;31/12/2021;209,9;104,95
168;50% COLECAO ESTOQUE;M2727004;24659;07/05/2020;31/12/2021;209,9;104,95
168;50% COLECAO ESTOQUE;M2713056;25581;07/05/2020;31/12/2021;99,9;49,95
168;50% COLECAO ESTOQUE;M2712019;25756;07/05/2020;31/12/2021;119,9;59,95
174;BLACK 2020;M3021003;22789;10/11/2020;31/12/2021;499,9;249,95
168;50% COLECAO ESTOQUE;M2713023;25383;07/05/2020;31/12/2021;109;54,5
168;50% COLECAO ESTOQUE;M2712019;25451;07/05/2020;31/12/2021;119,9;59,95
180;SALE 2021 CORRETA;M3120015;33892;26/12/2020;31/03/2021;159;79,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3210023;40937;06/04/2020;31/12/2021;99;49,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3219013;40943;06/04/2020;31/12/2021;129;64,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3219013;40947;06/04/2020;31/12/2021;129;64,5
169;50% - JEANS + POESIA CONCRETA;M2918057;30193;19/05/2020;31/12/2021;249,9;124,95
169;50% - JEANS + POESIA CONCRETA;M2918057;30194;19/05/2020;31/12/2021;249,9;124,95
168;50% COLECAO ESTOQUE;M3119012;34233;07/05/2020;31/12/2021;89;44,5
180;SALE 2021 CORRETA;M3119003;30989;26/12/2020;31/03/2021;129,9;64,95
180;SALE 2021 CORRETA;M3120015;35216;26/12/2020;31/03/2021;0;0
168;50% COLECAO ESTOQUE;M3113071;36429;07/05/2020;31/12/2021;79;39,5
168;50% COLECAO ESTOQUE;M3222003;36488;07/05/2020;31/12/2021;379;189,5
176;BLACK 2020;M3213010;37480;13/11/2020;31/12/2021;169;101,4
180;SALE 2021 CORRETA;M3210006;37322;26/12/2020;31/03/2021;149;74,5
168;50% COLECAO ESTOQUE;M3129017;33597;07/05/2020;31/12/2021;139;69,5
176;BLACK 2020;M3213008;37596;13/11/2020;31/12/2021;179;107,4
180;SALE 2021 CORRETA;M3212008;37605;26/12/2020;31/03/2021;189;94,5
176;BLACK 2020;M3213005;37601;13/11/2020;31/12/2021;169;101,4
176;BLACK 2020;M3213005;37602;13/11/2020;31/12/2021;169;101,4
176;BLACK 2020;M3213005;37603;13/11/2020;31/12/2021;169;101,4
176;BLACK 2020;M3213007;37618;13/11/2020;31/12/2021;169;101,4
176;BLACK 2020;M3213007;37619;13/11/2020;31/12/2021;169;101,4
174;BLACK 2020;M3116001;31372;10/11/2020;31/12/2021;159;79,5
180;SALE 2021 CORRETA;M3111006;31730;26/12/2020;31/03/2021;139,9;69,95
174;BLACK 2020;M3210007;38831;10/11/2020;31/12/2021;119;59,5
174;BLACK 2020;M3210007;38833;10/11/2020;31/12/2021;119;59,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3119022;39255;06/04/2020;31/12/2021;149;74,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3119022;39257;06/04/2020;31/12/2021;149;74,5
169;50% - JEANS + POESIA CONCRETA;M2929006;31298;19/05/2020;31/12/2021;139,9;69,95
169;50% - JEANS + POESIA CONCRETA;M2929006;31302;19/05/2020;31/12/2021;139,9;69,95
168;50% COLECAO ESTOQUE;M3115015;33131;07/05/2020;31/12/2021;159;79,5
168;50% COLECAO ESTOQUE;M3115015;33137;07/05/2020;31/12/2021;159;79,5
168;50% COLECAO ESTOQUE;M3221043;39874;07/05/2020;31/12/2021;159;79,5
168;50% COLECAO ESTOQUE;M3115015;31964;07/05/2020;31/12/2021;159;79,5
168;50% COLECAO ESTOQUE;M3115030;35188;07/05/2020;31/12/2021;179;89,5
170;5% COLECAO NOVA;M3113069;36710;21/05/2020;31/12/2021;159;111,3
180;SALE 2021 CORRETA;M3120015;33909;26/12/2020;31/03/2021;159;79,5
174;BLACK 2020;M3218041;41387;10/11/2020;31/12/2021;159;79,5
